year,country,Type,Co2 Emission
1750,EU-28,Coal,9.351
1750,EU-28,Gas,0.0
1750,EU-28,Oil,0.0
1750,EU-28,Other Industries,0.0
1750,Europe,Coal,9.351
1750,Europe,Gas,0.0
1750,Europe,Oil,0.0
1750,Europe,Other Industries,0.0
1750,Europe (excl. EU-27),Coal,9.351
1750,Europe (excl. EU-27),Gas,0.0
1750,Europe (excl. EU-27),Oil,0.0
1750,Europe (excl. EU-27),Other Industries,0.0
1750,United Kingdom,Coal,9.351
1750,United Kingdom,Gas,0.0
1750,United Kingdom,Oil,0.0
1750,United Kingdom,Other Industries,0.0
1750,World,Coal,9.351
1750,World,Gas,0.0
1750,World,Oil,0.0
1750,World,Other Industries,0.0
1751,EU-28,Coal,9.351
1751,EU-28,Gas,0.0
1751,EU-28,Oil,0.0
1751,EU-28,Other Industries,0.0
1751,Europe,Coal,9.351
1751,Europe,Gas,0.0
1751,Europe,Oil,0.0
1751,Europe,Other Industries,0.0
1751,Europe (excl. EU-27),Coal,9.351
1751,Europe (excl. EU-27),Gas,0.0
1751,Europe (excl. EU-27),Oil,0.0
1751,Europe (excl. EU-27),Other Industries,0.0
1751,United Kingdom,Coal,9.351
1751,United Kingdom,Gas,0.0
1751,United Kingdom,Oil,0.0
1751,United Kingdom,Other Industries,0.0
1751,World,Coal,9.351
1751,World,Gas,0.0
1751,World,Oil,0.0
1751,World,Other Industries,0.0
1752,EU-28,Coal,9.354
1752,EU-28,Gas,0.0
1752,EU-28,Oil,0.0
1752,EU-28,Other Industries,0.0
1752,Europe,Coal,9.354
1752,Europe,Gas,0.0
1752,Europe,Oil,0.0
1752,Europe,Other Industries,0.0
1752,Europe (excl. EU-27),Coal,9.354
1752,Europe (excl. EU-27),Gas,0.0
1752,Europe (excl. EU-27),Oil,0.0
1752,Europe (excl. EU-27),Other Industries,0.0
1752,United Kingdom,Coal,9.354
1752,United Kingdom,Gas,0.0
1752,United Kingdom,Oil,0.0
1752,United Kingdom,Other Industries,0.0
1752,World,Coal,9.354
1752,World,Gas,0.0
1752,World,Oil,0.0
1752,World,Other Industries,0.0
1753,EU-28,Coal,9.354
1753,EU-28,Gas,0.0
1753,EU-28,Oil,0.0
1753,EU-28,Other Industries,0.0
1753,Europe,Coal,9.354
1753,Europe,Gas,0.0
