year,Type,Co2 Emission
1750,Coal,46.755
1750,Gas,0.0
1750,Oil,0.0
1750,Other Industries,0.0
1751,Coal,46.755
1751,Gas,0.0
1751,Oil,0.0
1751,Other Industries,0.0
1752,Coal,46.769999999999996
1752,Gas,0.0
1752,Oil,0.0
1752,Other Industries,0.0
1753,Coal,46.769999999999996
1753,Gas,0.0
1753,Oil,0.0
1753,Other Industries,0.0
1754,Coal,46.790000000000006
1754,Gas,0.0
1754,Oil,0.0
1754,Other Industries,0.0
1755,Coal,46.81
1755,Gas,0.0
1755,Oil,0.0
1755,Other Industries,0.0
1756,Coal,50.03
1756,Gas,0.0
1756,Oil,0.0
1756,Other Industries,0.0
1757,Coal,50.05
1757,Gas,0.0
1757,Oil,0.0
1757,Other Industries,0.0
1758,Coal,50.06999999999999
1758,Gas,0.0
1758,Oil,0.0
1758,Other Industries,0.0
1759,Coal,50.084999999999994
1759,Gas,0.0
1759,Oil,0.0
1759,Other Industries,0.0
1760,Coal,50.084999999999994
1760,Gas,0.0
1760,Oil,0.0
1760,Other Industries,0.0
1761,Coal,54.870000000000005
1761,Gas,0.0
1761,Oil,0.0
1761,Other Industries,0.0
1762,Coal,54.885000000000005
1762,Gas,0.0
1762,Oil,0.0
1762,Other Industries,0.0
1763,Coal,54.905
1763,Gas,0.0
1763,Oil,0.0
1763,Other Industries,0.0
1764,Coal,54.925
1764,Gas,0.0
1764,Oil,0.0
1764,Other Industries,0.0
1765,Coal,54.94
1765,Gas,0.0
1765,Oil,0.0
1765,Other Industries,0.0
1766,Coal,61.3
1766,Gas,0.0
1766,Oil,0.0
1766,Other Industries,0.0
1767,Coal,61.315
1767,Gas,0.0
1767,Oil,0.0
1767,Other Industries,0.0
1768,Coal,61.334999999999994
1768,Gas,0.0
1768,Oil,0.0
1768,Other Industries,0.0
1769,Coal,61.355000000000004
1769,Gas,0.0
1769,Oil,0.0
1769,Other Industries,0.0
1770,Coal,61.37
1770,Gas,0.0
1770,Oil,0.0
1770,Other Industries,0.0
1771,Coal,68.06
1771,Gas,0.0
1771,Oil,0.0
1771,Other Industries,0.0
1772,Coal,68.075
1772,Gas,0.0
1772,Oil,0.0
1772,Other Industries,0.0
1773,Coal,68.095
1773,Gas,0.0
1773,Oil,0.0
1773,Other Industries,0.0
1774,Coal,68.115
1774,Gas,0.0
1774,Oil,0.0
1774,Other Industries,0.0
1775,Coal,68.13
1775,Gas,0.0
1775,Oil,0.0
1775,Other Industries,0.0
1776,Coal,75.185
1776,Gas,0.0
1776,Oil,0.0
1776,Other Industries,0.0
1777,Coal,75.205
1777,Gas,0.0
1777,Oil,0.0
1777,Other Industries,0.0
1778,Coal,75.22
1778,Gas,0.0
1778,Oil,0.0
1778,Other Industries,0.0
1779,Coal,75.24
1779,Gas,0.0
1779,Oil,0.0
1779,Other Industries,0.0
1780,Coal,75.275
1780,Gas,0.0
1780,Oil,0.0
1780,Other Industries,0.0
1781,Coal,84.215
1781,Gas,0.0
1781,Oil,0.0
1781,Other Industries,0.0
1782,Coal,84.23500000000001
1782,Gas,0.0
1782,Oil,0.0
1782,Other Industries,0.0
1783,Coal,84.27
1783,Gas,0.0
1783,Oil,0.0
1783,Other Industries,0.0
1784,Coal,84.29
1784,Gas,0.0
1784,Oil,0.0
1784,Other Industries,0.0
1785,Coal,84.341
1785,Gas,0.0
1785,Oil,0.0
1785,Other Industries,0.0
1786,Coal,95.756
1786,Gas,0.0
1786,Oil,0.0
1786,Other Industries,0.0
1787,Coal,95.791
1787,Gas,0.0
1787,Oil,0.0
1787,Other Industries,0.0
1788,Coal,95.81099999999999
1788,Gas,0.0
1788,Oil,0.0
1788,Other Industries,0.0
1789,Coal,95.846
1789,Gas,0.0
1789,Oil,0.0
1789,Other Industries,0.0
1790,Coal,95.88499999999999
1790,Gas,0.0
1790,Oil,0.0
1790,Other Industries,0.0
1791,Coal,107.096
1791,Gas,0.0
1791,Oil,0.0
1791,Other Industries,0.0
1792,Coal,109.476
1792,Gas,0.0
1792,Oil,0.0
1792,Other Industries,0.0
1793,Coal,109.57000000000001
1793,Gas,0.0
1793,Oil,0.0
1793,Other Industries,0.0
1794,Coal,109.403
1794,Gas,0.0
1794,Oil,0.0
1794,Other Industries,0.0
1795,Coal,109.46
1795,Gas,0.0
1795,Oil,0.0
1795,Other Industries,0.0
1796,Coal,114.755
1796,Gas,0.0
1796,Oil,0.0
1796,Other Industries,0.0
1797,Coal,120.47
1797,Gas,0.0
1797,Oil,0.0
1797,Other Industries,0.0
1798,Coal,125.471
1798,Gas,0.0
1798,Oil,0.0
1798,Other Industries,0.0
1799,Coal,132.14
1799,Gas,0.0
1799,Oil,0.0
1799,Other Industries,0.0
1800,Coal,139.951
1800,Gas,0.0
1800,Oil,0.0
1800,Other Industries,0.0
1801,Coal,139.262
